YEAR,1. Who is your neighborhood community organizer?,2. What type of garden do you have?,3. How long have you been growing with Home Gardens?,4. Did you garden this year?,"If you did NOT garden this year, please explain why.","5. Did you get enough seeds and starts for your garden? If no, please explain.",6. Has your fruit and vegetable consumption increased since gardening with Home Gardens?,7. Has growing a garden reduced the amount of times you visited a food pantry this season?,8. Below are some statements about feelings and thoughts. Check the box that best describes your experience since you started gardening with Home Gardens. [I've been feeling optimistic about the future],8. Below are some statements about feelings and thoughts. Check the box that best describes your experience since you started gardening with Home Gardens. [I've been feeling useful] / 8. A continuación se presentan algunas afirmaciones sobre sentimientos y pensamientos. Marque la opción que mejor describa su experiencia desde que ingreso al programa de Home Gardens. [Me he sentido útil],8. Below are some statements about feelings and thoughts. Check the box that best describes your experience since you started gardening with Home Gardens. [I've been feeling relaxed]/ 8. A continuación se presentan algunas afirmaciones sobre sentimientos y pensamientos. Marque la opción que mejor describa su experiencia desde que ingreso al programa de Home Gardens. [Me he sentido relajado/a],8. Below are some statements about feelings and thoughts. Check the box that best describes your experience since you started gardening with Home Gardens. [I've been dealing with problems well] / 8. A continuación se presentan algunas afirmaciones sobre sentimientos y pensamientos. Marque la opción que mejor describa su experiencia desde que ingreso al programa de Home Gardens. [He estado lidiando bien con los problemas],8. Below are some statements about feelings and thoughts. Check the box that best describes your experience since you started gardening with Home Gardens. [I've been thinking clearly] 8. A continuación se presentan algunas afirmaciones sobre sentimientos y pensamientos. Marque la opción que mejor describa su experiencia desde que ingreso al programa de Home Gardens. [He estado pensando claramente],8. Below are some statements about feelings and thoughts. Check the box that best describes your experience since you started gardening with Home Gardens. [I've been feeling close to other people] / 8. A continuación se presentan algunas afirmaciones sobre sentimientos y pensamientos. Marque la opción que mejor describa su experiencia desde que ingreso al programa de Home Gardens. [Me he sentido cerca de otras personas],8. Below are some statements about feelings and thoughts. Check the box that best describes your experience since you started gardening with Home Gardens. [I've been able to make up my own mind about things] / 8. A continuación se presentan algunas afirmaciones sobre sentimientos y pensamientos. Marque la opción que mejor describa su experiencia desde que ingreso al programa de Home Gardens. [He podido tomar mis propias decisiones],"9. Since joining the Home Gardens program, did you increase your knowledge/skill in... [Growing food?]","9. Since joining the Home Gardens program, did you increase your knowledge/skill in... [Cooking or preparing fresh produce?]","9. Since joining the Home Gardens program, did you increase your knowledge/skill in... [Using natural ingredients to make green cleaning products?]",10. Because of your garden did you? [Share produce from your garden with people outside your household? ],10. Because of your garden did you? [Meet any new neighbors?],10. Because of your garden did you? [Save money on groceries?],"10. Because of your garden did you? [Preserve (freeze, can, dry, pickle) any produce from your garden?]",16. Because of your garden did you....? [Experience any therapeutic (mental/emotional wellbeing) benefits from your garden?],11. Did having a garden increase your level of physical activity?,12. Please describe you and your family's experience in your garden this year.,13. Are there any workshops or skills training you would like to attend in the future?,"14. Did you receive the culturally relevant plants that you needed? If not, what items can we provide for you in the future? / 14. ¿Recibió las plantas culturalmente relevantes que necesitaba? Yes no, ¿qué artículos podrían proporcionarle?",15. How is your relationship with your community organizer? How could your community organizer better support you?,16. How often do you talk with your community organizer?,17. Is there anything else you would like us to know?,20. What were your favorite parts of gardening this year? ,6. Did you get plant starts from Plant Distribution Day?,"11. Did you participate in the CSA (Food Box) Program this year? 
",13. Do you have children in your home? (select all that apply),14. Did having a vegetable garden change your children's interest in eating fresh fruits and veggies?,"15. If you have school-aged children in your household, what school(s) are they enrolled in?",17. Did you attend a Growing Gardens virtual workshop or in-person class this season?,"If you did NOT attend a virtual workshop, let us know why (check all that apply):",21. What else would you like the see the Home Gardens program do in the future?,11. Did you receive a produce or food box from Growing Gardens at any time during the pandemic?,"9. In what ways has the garden been a benefit to you, your children or your community? (2018) "
2024,Angelica (Este de Portland/Gresham),Raised bed,This is my second year,Yes,,"I would like to receive more seeds, and more than 4 plants, please.",Yes,Yes,Some of the time,Some of the time,Often,Some of the time,Some of the time,Often,Some of the time,Yes,Yes,Not sure,Not sure,Yes,Yes,No,,I was MORE physically active because of the garden,Watching them grow and waiting for the first offspring is wonderful.,"How to fertulize and how to attack pests, I would appreciate it, and also support us with these products.",More variety.,"I really like the classes regarding everything related to planting, I really like this, I need to learn more.",Every week,,,,,,,,,,,,
2024,Isabel (Cully/Parkrose),Containers,This is my first year,Yes,,Yes,Yes,I do not visit food pantries anyway.,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,Yes,Yes,Yes,Not sure,No,Yes,Yes,,I was MORE physically active because of the garden,I HAVE ENJOYED MYSELF AND HAVE EATEN HEALTHIER.,HOW TO PREPARE OILS.,I RECEIVED THE IMPORTANT THING.,SHE HAS GIVEN ME GOOD SUPPORT.,Every week,,,,,,,,,,,,
2024,Carolina (Norte de Clackamas),In-Ground,This is my first year,Yes,,Yes,Yes,Yes,Often,Some of the time,Rara vez,Often,Rara vez,Rara vez,Often,Yes,No,No,Yes,No,Yes,No,,I was MORE physically active because of the garden,Very interesting to spend time with La Niña,Nose,Yes,I don't know,Every week,,,,,,,,,,,,
2024,Angelica (Este de Portland/Gresham),In-Ground,This is my second year,Yes,,Yes got enough,Yes,Yes,All of the time,Often,Often,Often,Often,Often,All of the time,Yes,Yes,Not sure,Yes,Yes,Yes,Yes,,I was MORE physically active because of the garden,Planting tomatoes and chili peppers etc. is optimistic for the overall body and keeps us busy.,Possibly,Yes,Yesempre notifies us of everything thank you very much.,Every week,,,,,,,,,,,,
2024,Carolina (Norte de Clackamas),In-Ground,This is my first year,Yes,,Yes,Yes,Yes,Some of the time,Often,Often,Some of the time,Some of the time,Some of the time,Some of the time,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,I was MORE physically active because of the garden,More active,Yes,Yes,Very attentive and kind,Every week,,,,,,,,,,,,
2024,Angelica (Este de Portland/Gresham),In-Ground,This is my third year,Yes,,,Yes,Yes,Some of the time,Often,Some of the time,Some of the time,Some of the time,Some of the time,Often,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,I was MORE physically active because of the garden,Living with my family,How to irrigate,Yes,Thank you for everything you do,Every week,,,,,,,,,,,,
2024,Carolina (Norte de Clackamas),In-Ground,This is my first year,Yes,,,Yes,Yes,Often,Often,Often,Often,Often,Often,Often,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,I was MORE physically active because of the garden,"Thanks to the home gardens program, my family and I are harvesting a lot of vegetables and we are very happy for this opportunity to be part of the program.",How to preserve vegetables,Yes,"I am happy with the support that my coordinator is giving me, thank you very much.",Every week,,,,,,,,,,,,
2024,Carolina (Norte de Clackamas),In-Ground,This is my first year,Yes,,Yes,Yes,Yes,Some of the time,All of the time,All of the time,All of the time,All of the time,Often,Often,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,I was MORE physically active because of the garden,Harvesting is very pleasant and eating fresh vegetables is even better,Yes How to make fertilizer,Yes,I am very satisfied with all the Apollo has given us.,Every week,,,,,,,,,,,,
2024,Angelica (Este de Portland/Gresham),In-Ground,This is my second year,Yes,,Yes thanks was enough,Yes,Yes,Often,All of the time,Some of the time,Often,Often,All of the time,All of the time,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,I was MORE physically active because of the garden,Thanks to my garden we ate a lot of vegetables and apricots of different plants.,Yes,Yes,Enough Apollo thank you,Every week,,,,,,,,,,,,
2024,Angelica (Este de Portland/Gresham),Raised bed,This is my second year,Yes,,Yes,Yes,Yes,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,I was MORE physically active because of the garden,Very pleased and happy,Energy Saving,Yes,I am happy with how everything is now,Every week,,,,,,,,,,,,
2024,Carolina (Norte de Clackamas),In-Ground,This is my first year,Yes,,Yes,Yes,Yes,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,I was MORE physically active because of the garden,"Happy to harvest my own fresh vegetables, it gives me a thrill to see how the plants bear fruit.",How to prepare fertilizer,Yes,In my opinion she Brienda the best service,Every week,,,,,,,,,,,,
2024,Carolina (Norte de Clackamas),In-Ground,This is my first year,Yes,,Yes had enough seeds and plants,Yes,Yes,All of the time,Often,Often,All of the time,Often,Often,Often,Yes,Yes,Yes,Yes,No,Yes,Yes,,I was MORE physically active because of the garden,"This year we had a great harvest of tomatillos and chili peppers, we had an excellent harvest.",How to prepare organic hygiene products,Yes I received the plants I needed,For me the support provided by my community organizer is excellent.,Every week,,,,,,,,,,,,
2024,Carolina (Norte de Clackamas),Containers,This is my third year,Yes,,Yes,Yes,Yes,Often,Often,Often,Often,Often,Often,Often,Not sure,Not sure,Not sure,Yes,Yes,Yes,Yes,,I was MORE physically active because of the garden,Better than other years thanks to Mrs. Carolina who is always looking out for us to have seeds and plants.,No,Yes I received everything I wanted,I am doing well for the moment,Every week,,,,,,,,,,,,
2024,Angelica (Este de Portland/Gresham),In-Ground,This is my third year,Yes,,Yes,Yes,Yes,None of the time,None of the time,Rara vez,Some of the time,All of the time,All of the time,All of the time,Yes,Yes,Yes,Yes,No,Yes,No,,I was MORE physically active because of the garden,They help us a lot with eating healthier and it's nice to point it out to my daughter.,How to take care of the environment,Yes,Giving more information what are the months that one has to put vegetables,Every time there are events,,,,,,,,,,,,
2024,Amber (Cully/Parkrose),In-Ground,This is my first year,Yes,,Yes,Yes,Yes,Often,Often,Some of the time,Often,Often,Often,Often,Yes,Yes,Not sure,No,Yes,Yes,No,,I was MORE physically active because of the garden,estamos feliz por que mis hijos me aludan y nos divertimos,no,yes,with plants,every time there are bejeweled and other events,,,,,,,,,,,,
2024,Carolina (Norte de Clackamas),Containers,This is my third year,Yes,,Yes a lot,Yes,Yes,Often,Often,Often,Often,Often,Often,Often,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,I was MORE physically active because of the garden,More healthy and organic,Probably,I am very well thank you,She is very good at what she does,Most of the time,,,,,,,,,,,,
2024,Cat (Southeast Portland),Containers,This is my second year,Yes,,I did in spring.,Not sure,I do not visit food pantries anyway.,Rarely,Some of the time,Rarely,Some of the time,Some of the time,Some of the time,Some of the time,Not sure,Not sure,Not sure,Yes,No,No,No,,I was LESS physically active because of the garden,This year we had starts rather then seeds. We had a great time watching things grow.,Not sure,I loved what I received. I really wanted strawberries.,She was awesome,Communicated by email,I never got the tools to help with my garden.,,,,,,,,,,,
2024,Lindsay (North Clackamas),Containers,This is my second year,Yes,,Yes,Not sure,I do not visit food pantries anyway.,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Yes,Not sure,No,Yes,Not sure,Yes,No,,I was MORE physically active because of the garden,Wish I had a sunnier location,No,Yes,Not sure,Couple times per season,Not that I can think of,,,,,,,,,,,
2024,Carolina (Norte de Clackamas),In-Ground,This is my second year,Yes,,Yes,Yes,I do not visit food pantries anyway.,All of the time,All of the time,All of the time,Often,Often,All of the time,All of the time,Yes,Yes,Yes,Yes,Yes,Not sure,No,,I was MORE physically active because of the garden,"In addition to my physical work, I enjoy being outside, my family likes that I enjoy it.","I'm fine for now, thank you.","Yes, Carolina is an exceptional person, she is always on the lookout.","No words, Carolina is very organized and always sends me invitations to workshops.",It depends on the information you have to give me.,,,,,,,,,,,,
2024,Ceci (Condado de Washington),In-Ground,This is my first year,Yes,,Yes I got enough,Yes,Yes,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,Yes,Yes,Yes,No,Yes,Yes,No,,I was MORE physically active because of the garden,We enjoyed it very much and my children loved the experience of planting and harvesting.,I am interested in learning as much as possible,Yes,More flexibility in scheduling,When it is necessary,,,,,,,,,,,,
2024,Amber (Cully/Parkrose),In-Ground,This is my first year,Yes,,Yes,Not sure,Not sure,All of the time,Often,Often,Often,Often,Some of the time,Often,Yes,No,No,No,No,No,No,,I was LESS physically active because of the gardent sure,"Well, I'm very new. I've met Amber just this last month and got my garden bed put in October. She gave me some starts and seeds. The seeds are starting to sprout now and the starts seem to be doing well. It's only been a month into the program for me.",Anything with soil building information,"I'd like to get some asparagus in the future. Next year I know I want summer squash and dill, the 2 things that didn't grow for me this year in my garden.",I'd like information on what was the blend of soil additives they added when they put in the garden bed. I'm interested to build myself more and better garden beds around my house.,"I've only just met them, so 2 times in the time I've met them.",I'm looking forward to more gardening soon. I'm grateful for the help.,,,,,,,,,,,
2024,Lindsay (North Clackamas),Raised bed,This is my second year,Yes,,yes,Yes,Not sure,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Rarely,Often,Yes,No,Yes,Yes,Yes,Yes,Yes,,I was LESS physically active because of the gardent sure,My boyfriend has helped me a bit in gardening,how to set up watering drip system,yes,"The program has been great!, no complaints",just at worksite,$5 cash,,,,,,,,,,,
2024,Isabel (Cully/Parkrose),Community Garden,This is my second year,Yes,,Yes,Yes,Yes,Often,Often,Often,Often,Often,Often,Often,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,I was MORE physically active because of the garden,We work together and live together more,Workshop to prepare creams,Yes,Giving us more workshops,"Very often, especially when there is new information",,,,,,,,,,,,
2024,Carolina (Norte de Clackamas),In-Ground,This is my second year,Yes,,Yes,Yes,Yes,Often,Often,Often,Often,Often,Often,Often,Yes,Yes,Yes,No,Yes,Yes,Yes,,I was LESS physically active because of the gardent sure,We have been paying more attention to our garden and our vegetables and taking advantage of the land to grow food. I have learned several things I didn't know and I like to harvest my own vegetables.,How to learn to cook healthier,Yes,"Perhaps sharing information on places to learn more about gardening online, Perhaps sending information to learn more online, as it is sometimes difficult to attend in person.",Not very sure,,,,,,,,,,,,
2024,Angelica (Este de Portland/Gresham),In-Ground,This is my second year,Yes,Yes,Yes,Yes,Yes,Often,None of the time,Often,Often,Often,Some of the time,Often,Yes,Yes,Not sure,Yes,No,Yes,No,,I was MORE physically active because of the garden,Very pleased,How to care for plants so they don't catch disease,Yes,With more gardening workshops,Not very often,,,,,,,,,,,,
2024,Isabel (Cully/Parkrose),In-Ground,This is my second year,Yes,,Yes,Yes,No,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,Yes,Yes,Yes,Not sure,No,Yes,Yes,,I was MORE physically active because of the garden,My daughter was always excited to garden and visit our coordinator,Any for preserving,Arnica,She is amazing,Once per month,No,,,,,,,,,,,
2024,Lindsay (North Clackamas),Containers,This is my first year,Yes,,Yes,Yes,I do not visit food pantries anyway.,Often,Often,Some of the time,Often,Often,Some of the time,Often,Yes,Not sure,No,Yes,No,Yes,Yes,,I was LESS physically active because of the gardent sure,"My 3yo granddaughter really enjoyed watering the garden and eating the collards and strawberries, as well as, pickling and eating the cucumbers. I was very excited by the whole process of planting, checking to see the progress and the new buds and growth of the plants, and harvesting and eating. It felt really good.",Idk,Idk,"I think Lindsay did a great job supporting me. She checked in and when I requested some tomato cages, she delivered them the next week.",Once per month,No,,,,,,,,,,,
2024,Shireen (North Portland),Raised bed,This is my first year,Yes,,Yes,Yes,I went to food pantries and received emergency food boxes LESS often,Often,Often,Often,Often,Often,Some of the time,Often,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,I was MORE physically active because of the garden,"Watering together, leaning about the different types of Greens, etc",more cooking classes,more collard greens,she's doing a great job,Once per month,no,,,,,,,,,,,
2024,Isabel (Cully/Parkrose),Containers,This is my second year,Yes,,Yes,Yes,I went to food pantries and received emergency food boxes LESS often,Rarely,Often,Rarely,Some of the time,Some of the time,Often,Often,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,I was MORE physically active because of the garden,we love to have our children help in the garden and learn,canning.,more habaneros,She does excellent,Once per month,We are very grateful to what we have got. it would be nice to learn about any ways to make it a little bit more accessible for gardening in an apartment such as vertical ways of growing.,,,,,,,,,,,
2024,Cat (Southeast Portland),Containers,This is my first year,Yes,,Yes,Yes,No,Some of the time,Often,Some of the time,Often,Often,Some of the time,Often,Yes,Not sure,No,Yes,Yes,No,Yes,,I was MORE physically active because of the garden,"I really enjoyed garden this year and being able to try growing new foods. A lot of things didn’t grow as expected this year, but I had fun. I really appreciated the workbook and talks we had so I could learn more",Composting,N/A,Cat was great!,Once per month,No,,,,,,,,,,,
2024,Lindsay (North Clackamas),Raised bed,This is my second year,Yes,,Yes,No,I do not visit food pantries anyway.,Often,Often,Some of the time,Often,Often,Some of the time,Often,Yes,Yes,Yes,Yes,No,No,No,,I was MORE physically active because of the garden,It was okay. Summer was better than fall but it is my first time time gardening in the fall. Those dang caterpillars ate my greens. I tried saving them but those caterpillars kept coming back.,Yes,Yes,Lindsay does a great job,Once per month,Not at the moment,,,,,,,,,,,
2024,Kathy (East Portland/Gresham),Raised bed,This is my first year,Yes,,Yes,Yes,I went to food pantries and received emergency food boxes LESS often,Some of the time,Some of the time,Some of the time,Often,Often,Often,Often,Yes,Yes,No,Yes,No,Yes,Yes,,I was MORE physically active because of the garden,Was fun a day interesting to see the garden grow and easy to take care of since it is a raised bed.,Not sure,Yes,KATHY DID A WONDERFUL job. Can think of anything to add.,Once per month,No,,,,,,,,,,,
2024,Lindsay (North Clackamas),Containers,This is my first year,Yes,,,Yes,I went to food pantries and received emergency food boxes LESS often,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,I was MORE physically active because of the garden,It was wonderful learned a lot of things,Yes I would like to attend as many as I can get to.,Yes,She did great,Once per month,Thank you so much,,,,,,,,,,,
2024,Isabel (Cully/Parkrose),Raised bed,This is my second year,Yes,,yes,Yes,I do not visit food pantries anyway.,All of the time,All of the time,Some of the time,Some of the time,Often,Often,All of the time,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,I was MORE physically active because of the garden,My kids are now able to identify flowers and plants as we have grown and walk the neighborhood.,yea,yes,Was able to provide seeds and let is know of upcoming produce delivery.,Once per month,I dont prefer a mass text,,,,,,,,,,,
2024,Shireen (North Portland),Containers,This is my first year,Yes,,Yes,Yes,I went to food pantries and received emergency food boxes LESS often,Often,Often,Some of the time,Often,Often,Often,Often,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,I was MORE physically active because of the garden,I enjoyed the harvest,"Yes, just keep us informed",Yes,Shireen did an excellent job,Once per month,Keep me informed of upcoming event,,,,,,,,,,,
2024,Lindsay (North Clackamas),Containers,This is my first year,Yes,,Yes.,Yes,No,Often,Often,Some of the time,Some of the time,Often,Often,Often,Yes,Yes,Yes,Yes,No,Yes,Yes,,I was MORE physically active because of the garden,This was my family’s first time successfully gardening. We learned so much and produced more than we even expected!,I would like to attend all if my schedule allows.,Yes we did!,She does a wonderful job. It’s hard to make all the workshop with my busy schedule and having young children. It would be great if I could attend workshops remotely or receive presentations in paper or video form.,Once per month,No.,,,,,,,,,,,
2024,Kathy (East Portland/Gresham),In-Ground,This is my first year,Yes,,Yes,Yes,I went to food pantries and received emergency food boxes LESS often,Some of the time,Some of the time,Some of the time,Some of the time,Often,Some of the time,Some of the time,Yes,Yes,No,Yes,No,Yes,Yes,,I was MORE physically active because of the garden,We grew an abundance of tomatoes and worked with some new veggies. Learning how to maintain the garden beds and seasons to plant,I'd love more herb knowledge.,Yes would love medicinal plants too in the future,Maybe a few more group meetings to learn some ideas on plants and how to use properly,Once per month,Not that I can think of,,,,,,,,,,,
